KD1,KD2,KD3,KD4,KD5,KC1,KC2,KC3,KC4,KC5,LC1,LC2,LC3,LC4,LC5,LM1,LM2,LM3,LM4,LM5,LM6,LM7,PI1,PI2,PI3,PI4,PI5,PI6,FI1,FI2,FI3,FI4,FI5,MI1,MI2,MI3,MI4,MI5,MI6,MI7,KD,KC,LC,LM,PC,FC,MC,INDUTRY,GENDER,MARRYED,EDUCATION,DUTY,AGE,CAREER,COMPANY
4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,5,4,5,5,5,4,4,4,4,5,5,4,4,4,4,4,4,4,0.124,-0.066,0.933,0.716,1.684,1.171,0.946,FINANCE,FEMALE,NO,UNIVERSITY,OPERATOR,31,7,3
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,2,2,2,2,2,2,5,4,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,4,0.124,-0.066,0.594,-2.239,1.899,2.078,1.510,FINANCE,FEMALE,NO,UNIVERSITY,OPERATOR,30,5,3
2,2,4,3,4,4,4,4,4,3,3,3,2,2,3,4,3,3,3,4,2,4,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,4,-1.674,-0.364,-1.581,-0.267,-1.844,-2.323,-1.171,FINANCE,FEMALE,NO,UNIVERSITY,OPERATOR,26,2,4
4,4,4,4,4,4,3,4,4,4,4,4,5,5,4,4,4,3,2,2,3,3,2,2,2,3,4,2,3,3,2,3,3,2,2,2,2,2,2,2,0.124,-0.474,1.192,-0.715,-1.193,-1.161,-1.792,FINANCE,FEMALE,NO,UNIVERSITY,OPERATOR,22,1,6
5,5,5,5,5,5,5,5,5,5,3,3,1,3,3,3,5,1,1,1,1,1,3,5,3,3,3,3,5,5,4,4,2,3,4,1,4,3,1,4,1.905,1.822,-1.570,-2.315,-0.085,0.678,-0.555,FINANCE,FEMALE,YES,UNIVERSITY,OPERATOR,33,9,6
4,4,4,4,4,4,4,4,4,4,3,3,4,3,4,4,4,3,3,4,3,3,2,3,3,2,2,3,2,3,3,3,2,3,3,3,3,3,3,3,0.124,-0.066,-0.365,-0.081,-1.188,-1.422,-0.423,FINANCE,FEMALE,YES,UNIVERSITY,OPERATOR,29,10,6
4,3,3,3,4,3,3,4,3,4,3,3,4,3,4,4,4,3,4,3,4,4,2,3,3,4,3,3,4,3,4,4,3,3,4,3,4,3,3,4,-0.948,-1.256,-0.365,0.299,-0.523,0.041,0.196,FINANCE,MALE,NO,UNIVERSITY,OPERATOR,24,1,1
5,5,5,5,5,5,5,5,5,5,4,5,4,4,5,5,4,4,5,4,4,4,4,4,4,5,5,3,4,5,5,4,5,4,5,4,4,4,4,4,1.905,1.822,1.235,1.112,1.022,1.486,1.134,FINANCE,MALE,NO,UNIVERSITY,OPERATOR,30,5,3
5,4,5,4,4,5,4,4,4,4,5,5,5,5,5,5,5,4,4,5,4,4,5,4,4,4,5,2,5,5,4,4,4,5,4,4,4,4,4,4,0.878,0.313,2.172,1.303,0.807,1.213,1.135,FINANCE,MALE,NO,UNIVERSITY,OPERATOR,30,3,3
5,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.570,-0.066,0.594,0.716,1.472,0.611,0.946,FINANCE,MALE,YES,UNIVERSITY,OPERATOR,39,8,3
3,3,4,4,4,4,4,4,4,3,4,4,4,3,4,3,4,4,4,4,4,3,3,2,2,2,2,2,4,3,4,3,3,4,3,4,3,3,3,4,-0.593,-0.364,0.290,0.336,-1.617,-0.252,0.145,FINANCE,MALE,YES,UNIVERSITY,OPERATOR,32,7,6
4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,3,3,3,3,3,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4,4,0.124,-0.066,-0.983,-0.481,-1.844,-0.296,0.946,FINANCE,MALE,YES,UNIVERSITY,OPERATOR,35,15,6
5,5,5,5,5,5,5,5,5,5,4,4,5,3,4,2,5,2,2,2,2,2,3,3,4,3,3,3,4,4,4,4,4,3,3,2,2,2,4,3,1.905,1.822,0.584,-1.492,-0.301,0.611,-0.775,MEDICAL,FEMALE,NO,UNIVERSITY,OPERATOR,31,7,9
4,2,3,3,4,4,5,4,5,5,4,3,3,5,4,4,5,4,4,2,3,3,3,3,3,2,4,2,5,1,5,1,2,1,5,2,2,1,1,2,-1.283,1.044,0.288,0.093,-0.752,-1.107,-1.813,MEDICAL,FEMALE,NO,UNIVERSITY,OPERATOR,33,7,10
5,5,5,5,5,5,5,5,5,5,3,3,4,3,3,4,3,2,2,2,2,2,2,2,3,2,2,2,4,3,5,4,5,4,3,5,5,2,2,3,1.905,1.822,-0.689,-1.491,-1.622,0.880,0.122,MEDICAL,FEMALE,YES,UNIVERSITY,OPERATOR,34,5,9
4,4,3,3,4,5,4,4,4,3,3,3,4,4,5,2,5,4,4,5,4,4,4,4,4,4,4,4,3,3,3,5,4,4,3,5,5,2,3,3,-0.612,0.015,0.263,0.741,0.798,-0.003,0.333,ELECTRONIC,MALE,NO,UNIVERSITY,OPERATOR,27,1,12
5,5,4,4,4,5,5,5,5,4,4,4,4,3,4,4,4,4,4,3,5,3,4,4,4,4,3,4,5,4,5,4,4,4,4,5,4,3,4,4,0.841,1.524,0.290,0.502,0.585,1.215,0.923,ELECTRONIC,MALE,NO,UNIVERSITY,OPERATOR,25,1,12
5,5,5,5,5,5,5,5,5,5,5,4,3,3,5,3,5,3,3,3,3,3,4,4,3,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,1.905,1.822,0.659,-0.295,0.561,0.611,0.946,ELECTRONIC,MALE,NO,UNIVERSITY,OPERATOR,25,1,15
3,3,3,3,3,3,3,3,4,4,2,3,3,3,3,2,3,2,2,2,3,3,3,3,3,2,3,3,4,3,3,3,3,4,3,3,3,3,3,3,-1.658,-1.252,-1.321,-1.481,-0.750,-0.557,-0.234,ELECTRONIC,MALE,NO,UNIVERSITY,OPERATOR,25,2,17
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,5,4,4,5,5,5,5,5,5,4,5,5,5,5,4,4,5,5,4,4,4,1.905,1.822,2.172,1.116,2.118,1.779,1.323,ELECTRONIC,MALE,NO,UNIVERSITY,OPERATOR,26,1,17
4,3,4,3,3,4,4,4,3,4,4,4,4,3,4,3,4,4,4,4,4,3,4,4,3,3,4,3,3,4,4,4,3,5,3,5,4,4,3,4,-0.903,-0.469,0.290,0.336,0.135,0.045,0.898,ELECTRONIC,MALE,NO,UNIVERSITY,OPERATOR,25,1,17
4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,4,4,3,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,0.124,-1.167,-0.983,-0.064,-1.617,-2.323,-1.177,ELECTRONIC,MALE,YES,UNIVERSITY,OPERATOR,31,5,12
3,3,3,3,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,3,-1.329,-0.066,0.278,0.529,0.798,0.611,0.141,FINANCE,FEMALE,NO,UNIVERSITY,TECHNICIAN,30,5,3
4,4,4,4,4,4,4,4,4,4,3,4,2,2,3,4,4,4,4,4,3,2,4,2,2,2,2,3,4,3,3,3,2,4,4,2,2,2,2,2,0.124,-0.066,-1.264,0.139,-1.176,-0.824,-1.037,FINANCE,FEMALE,NO,UNIVERSITY,TECHNICIAN,34,10,4
4,4,5,5,3,3,4,4,4,4,5,5,5,4,4,4,5,2,2,4,4,3,5,4,4,4,4,3,3,4,4,4,4,3,4,5,4,4,4,4,0.532,-0.444,1.543,-0.116,0.809,0.312,0.920,FINANCE,FEMALE,NO,UNIVERSITY,TECHNICIAN,36,6,5
4,4,4,4,5,5,4,5,5,4,4,5,3,4,4,5,5,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,3,3,4,2,3,3,3,3,0.452,1.115,0.617,1.486,0.798,0.344,-0.398,FINANCE,FEMALE,NO,UNIVERSITY,TECHNICIAN,26,2,6
5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,4,4,4,4,4,4,4,3,3,3,4,3,4,4,4,4,4,4,3,3,3,3,3,3,3,1.905,1.822,-0.983,0.716,-0.082,0.611,-0.423,FINANCE,FEMALE,NO,UNIVERSITY,TECHNICIAN,25,2,4
3,3,5,5,4,4,4,4,4,3,3,3,3,3,3,3,4,1,4,3,1,1,1,1,1,1,1,1,4,3,3,3,1,4,4,2,1,1,1,1,0.143,-0.364,-0.983,-1.451,-3.165,-1.092,-1.866,FINANCE,FEMALE,NO,UNIVERSITY,TECHNICIAN,28,2,4
5,5,5,5,5,5,5,5,5,5,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,3,4,4,4,4,4,3,4,1.905,1.822,0.290,0.716,0.137,0.344,0.734,FINANCE,FEMALE,YES,UNIVERSITY,TECHNICIAN,38,15,2
5,5,5,5,5,5,5,5,5,5,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,3,4,4,4,4,4,3,4,1.905,1.822,0.290,0.716,0.137,0.344,0.734,FINANCE,FEMALE,YES,UNIVERSITY,TECHNICIAN,43,21,2
5,4,4,4,4,4,3,4,4,3,3,4,4,4,4,3,4,3,3,4,3,4,4,5,5,3,4,4,4,4,4,4,4,2,2,2,3,2,2,4,0.505,-0.772,0.256,-0.076,1.012,0.611,-1.146,FINANCE,FEMALE,YES,UNIVERSITY,TECHNICIAN,35,5,5
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.124,-0.066,0.594,0.512,0.798,0.611,0.946,FINANCE,FEMALE,YES,UNIVERSITY,TECHNICIAN,40,3,5
4,3,4,3,4,3,4,3,4,3,3,3,2,4,3,2,4,3,4,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,-0.575,-1.142,-0.972,-1.057,-1.844,-1.725,-1.792,FINANCE,FEMALE,YES,UNIVERSITY,TECHNICIAN,40,17,6
3,3,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,3,4,4,4,3,3,3,3,4,4,4,4,3,4,4,3,4,4,4,4,-0.593,-0.364,0.290,0.524,-0.078,0.344,0.782,FINANCE,MALE,NO,UNIVERSITY,TECHNICIAN,35,10,4
4,3,5,4,4,5,5,5,5,5,3,3,3,3,3,4,5,4,3,4,3,3,3,4,3,2,3,4,4,4,4,3,2,3,3,3,3,4,3,4,0.161,1.822,-0.983,0.310,-0.316,-0.217,-0.020,FINANCE,MALE,NO,UNIVERSITY,TECHNICIAN,27,2,4
4,3,3,3,4,4,4,4,3,4,3,4,3,4,4,4,4,3,3,3,3,3,2,3,2,1,1,3,3,3,3,2,3,3,4,4,3,3,3,3,-0.948,-0.469,-0.038,-0.294,-1.849,-1.149,-0.071,FINANCE,MALE,NO,UNIVERSITY,TECHNICIAN,30,3,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,3,4,4,3,4,4,3,3,4,4,4,0.124,-0.066,0.594,0.716,-0.078,0.041,0.569,FINANCE,MALE,YES,UNIVERSITY,TECHNICIAN,32,10,4
4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,3,3,3,2,2,3,2,1,2,2,2,2,2,1,2,4,2,1,2,2,2,0.124,-0.066,-0.327,0.119,-1.834,-2.590,-1.628,FINANCE,MALE,YES,UNIVERSITY,TECHNICIAN,36,10,4
5,5,4,5,5,4,5,4,4,5,4,5,5,5,5,4,5,4,4,4,5,5,4,4,4,4,5,4,2,4,4,5,5,5,5,3,4,5,4,5,1.532,0.641,1.833,1.287,1.010,0.573,1.563,FINANCE,MALE,YES,UNIVERSITY,TECHNICIAN,40,8,5
3,5,4,5,4,5,3,5,4,5,4,5,4,5,4,4,5,5,5,4,4,4,4,4,5,5,4,4,4,4,4,5,5,4,5,4,5,5,4,4,0.441,0.602,1.215,1.316,1.246,1.171,1.535,FINANCE,MALE,YES,UNIVERSITY,TECHNICIAN,35,8,5
3,3,3,4,4,5,5,5,5,5,3,3,3,3,3,3,4,3,3,2,1,1,2,2,2,3,3,3,3,2,3,3,3,3,2,1,2,2,2,2,-0.966,1.822,-0.983,-1.463,-1.190,-1.159,-1.767,FINANCE,MALE,YES,UNIVERSITY,TECHNICIAN,35,9,6
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,0.124,-0.066,0.594,1.107,0.366,0.611,0.946,FINANCE,MALE,YES,UNIVERSITY,TECHNICIAN,42,18,2
4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.124,-0.662,0.594,0.716,0.798,0.611,0.946,FINANCE,MALE,YES,UNIVERSITY,TECHNICIAN,50,25,6
4,4,4,4,3,4,4,4,4,3,4,4,4,3,4,4,3,3,4,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,2,2,-0.205,-0.364,0.290,-0.465,-0.523,-0.856,-1.228,MEDICAL,FEMALE,NO,UNIVERSITY,TECHNICIAN,30,5,7
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,3,4,4,3,3,3,4,3,3,3,0.124,-0.066,0.594,0.523,0.798,-0.296,-0.209,MEDICAL,FEMALE,NO,UNIVERSITY,TECHNICIAN,28,6,7
3,3,4,4,4,3,4,4,5,5,3,3,3,3,4,3,3,2,2,3,3,3,2,2,3,3,3,3,4,3,4,4,3,4,4,3,3,3,3,4,-0.593,0.257,-0.659,-1.081,-0.969,0.041,0.171,MEDICAL,FEMALE,NO,UNIVERSITY,TECHNICIAN,31,5,7
4,4,4,3,4,3,4,3,4,4,4,4,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-0.240,-0.844,-0.004,-0.294,-0.523,-0.856,-0.423,MEDICAL,FEMALE,NO,UNIVERSITY,TECHNICIAN,23,1,7
4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0.124,-1.953,0.594,0.716,-0.523,-0.856,-0.423,MEDICAL,FEMALE,NO,UNIVERSITY,TECHNICIAN,26,4,7
4,4,3,3,4,4,4,3,3,4,4,4,3,3,4,4,4,4,3,4,3,3,4,3,4,3,4,4,4,4,4,4,4,3,4,3,3,3,3,3,-0.612,-0.868,-0.004,0.123,0.352,0.611,-0.235,MEDICAL,FEMALE,NO,UNIVERSITY,TECHNICIAN,31,9,8
5,2,2,2,2,3,4,3,5,3,2,2,4,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,2,2,2,2,2,2,-2.295,-0.739,-1.668,-1.844,-1.844,-0.856,-1.603,MEDICAL,FEMALE,NO,UNIVERSITY,TECHNICIAN,24,2,8
4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.124,-0.066,-0.327,0.716,0.798,0.611,0.946,MEDICAL,FEMALE,NO,UNIVERSITY,TECHNICIAN,25,3,8
4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,0.124,-0.066,-0.644,-0.427,-0.523,-0.856,-0.071,MEDICAL,FEMALE,NO,UNIVERSITY,TECHNICIAN,20,1,8
4,4,4,3,3,3,3,3,4,3,3,3,4,3,4,3,3,3,4,3,3,4,2,2,2,2,3,2,2,3,3,3,3,2,2,3,2,2,2,2,-0.568,-1.550,-0.365,-0.267,-1.632,-1.155,-1.628,MEDICAL,FEMALE,NO,UNIVERSITY,TECHNICIAN,21,1,8
4,2,4,2,3,4,4,3,3,3,4,2,4,4,3,2,4,2,2,2,2,3,3,3,4,4,4,3,2,2,2,4,2,3,3,2,2,2,2,3,-1.602,-1.167,-0.363,-1.486,0.137,-1.737,-1.198,MEDICAL,FEMALE,NO,UNIVERSITY,TECHNICIAN,35,10,9
5,4,5,4,5,5,5,5,5,5,4,4,4,4,4,3,4,4,4,4,3,3,4,3,3,4,4,4,4,4,3,3,4,4,3,3,4,3,4,4,1.206,1.822,0.594,0.144,0.357,0.013,0.407,MEDICAL,FEMALE,NO,UNIVERSITY,TECHNICIAN,30,5,10
4,4,3,3,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,4,3,4,3,3,4,3,3,3,3,3,2,2,3,-0.612,-0.066,1.833,0.906,-0.311,-0.264,-0.821,MEDICAL,FEMALE,NO,UNIVERSITY,TECHNICIAN,26,4,10
3,3,3,3,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,3,2,4,4,4,4,4,3,4,3,3,2,4,3,3,2,2,3,-1.329,-0.066,0.278,0.529,0.133,-0.252,-0.821,MEDICAL,FEMALE,NO,UNIVERSITY,TECHNICIAN,24,1,10
3,3,4,4,3,3,3,3,3,4,4,4,4,4,3,3,4,3,4,3,5,4,3,3,3,3,3,3,4,5,4,4,5,4,4,3,3,5,3,4,-0.922,-1.655,0.271,0.303,-0.523,1.181,0.544,MEDICAL,FEMALE,NO,UNIVERSITY,TECHNICIAN,23,1,10
4,4,4,4,4,5,4,4,4,3,4,4,4,3,4,3,4,4,4,4,3,3,3,3,3,4,3,3,3,4,4,4,4,4,4,4,3,3,3,4,0.124,0.015,0.290,0.144,-0.297,0.312,0.334,MEDICAL,FEMALE,NO,UNIVERSITY,TECHNICIAN,23,1,10
4,2,3,2,4,4,2,3,3,3,4,4,4,3,4,3,3,3,3,3,3,3,3,4,4,4,4,4,3,2,3,3,4,3,3,3,3,3,3,3,-1.647,-1.983,0.290,-0.668,0.571,-0.892,-0.423,MEDICAL,FEMALE,NO,UNIVERSITY,TECHNICIAN,23,1,10
2,2,3,3,3,2,3,3,2,3,3,3,4,3,3,2,3,4,3,2,3,4,3,3,4,3,2,3,4,3,2,3,4,3,3,2,3,3,4,3,-2.375,-2.735,-0.689,-0.671,-0.514,-0.595,-0.375,MEDICAL,FEMALE,NO,UNIVERSITY,TECHNICIAN,24,1,10
3,3,3,3,4,3,4,3,3,4,4,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,4,3,3,3,4,-1.329,-1.247,-0.644,-0.251,-0.523,-0.551,0.145,MEDICAL,FEMALE,NO,UNIVERSITY,TECHNICIAN,25,2,10
5,4,5,4,5,3,4,5,5,5,5,5,5,3,4,4,5,3,4,5,5,5,3,3,3,4,4,3,4,4,4,4,4,3,3,4,4,3,3,3,1.206,0.656,1.239,1.295,-0.084,0.611,-0.046,MEDICAL,FEMALE,NO,UNIVERSITY,TECHNICIAN,24,2,10
3,3,3,3,4,4,4,4,4,4,4,3,4,4,4,3,4,3,3,3,3,4,3,3,4,4,4,3,4,4,4,4,4,4,4,3,3,3,3,3,-1.329,-0.066,0.278,-0.289,0.137,0.611,-0.046,MEDICAL,FEMALE,NO,UNIVERSITY,TECHNICIAN,24,1,10
5,5,3,3,4,5,5,3,3,5,4,4,3,3,3,5,5,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,0.105,0.217,-0.327,0.493,0.798,0.611,0.568,MEDICAL,FEMALE,NO,UNIVERSITY,TECHNICIAN,23,1,10
4,3,4,3,3,3,3,4,4,3,3,3,3,4,2,1,1,1,3,1,1,4,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,-0.903,-1.151,-1.002,-2.441,-2.938,-3.790,-2.783,MEDICAL,FEMALE,NO,UNIVERSITY,TECHNICIAN,23,1,10
4,4,3,4,4,3,3,4,3,3,4,4,3,3,4,3,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,-0.249,-1.554,-0.004,0.529,-0.523,-0.563,-0.423,MEDICAL,FEMALE,NO,UNIVERSITY,TECHNICIAN,23,1,10
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,4,3,4,4,4,2,4,4,4,4,4,4,4,4,4,4,3,3,4,3,4,4,4,1.905,1.822,2.172,0.320,0.345,0.611,0.355,MEDICAL,FEMALE,NO,UNIVERSITY,TECHNICIAN,25,2,9
4,4,4,4,4,4,4,4,4,4,3,3,4,4,3,4,4,2,3,2,2,3,2,1,2,3,2,2,3,3,2,3,2,2,3,2,3,2,2,3,0.124,-0.066,-0.385,-0.903,-1.836,-1.428,-1.173,MEDICAL,FEMALE,NO,UNIVERSITY,TECHNICIAN,23,1,10
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,3,3,3,3,3,3,4,4,4,4,4,4,3,3,3,3,4,4,0.124,-0.066,0.594,0.316,-0.523,0.611,0.194,MEDICAL,FEMALE,NO,UNIVERSITY,TECHNICIAN,24,3,10
4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,3,3,3,4,4,4,4,4,4,5,3,3,3,3,3,3,3,3,-0.948,-0.066,0.594,1.100,0.130,0.637,-0.423,MEDICAL,FEMALE,NO,UNIVERSITY,TECHNICIAN,24,1,10
3,3,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,4,4,-0.593,-0.066,-0.983,-0.053,-0.742,-0.856,-0.158,MEDICAL,FEMALE,YES,UNIVERSITY,TECHNICIAN,28,6,7
3,2,3,2,3,3,4,3,4,2,3,4,3,3,2,4,3,4,3,4,3,4,3,3,4,3,3,4,2,3,3,2,2,3,2,2,3,2,3,4,-2.356,-1.441,-0.990,0.129,-0.087,-1.715,-0.745,MEDICAL,FEMALE,YES,UNIVERSITY,TECHNICIAN,30,5,7
5,3,5,3,4,3,5,3,3,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,5,2,2,2,3,3,3,4,2,2,3,5,5,4,3,3,0.179,-0.839,-0.320,0.716,-0.288,-0.830,0.329,MEDICAL,FEMALE,YES,UNIVERSITY,TECHNICIAN,38,5,7
4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,-0.205,-0.066,0.271,0.529,0.345,0.611,0.566,MEDICAL,FEMALE,YES,UNIVERSITY,TECHNICIAN,32,7,9
4,3,4,4,4,3,4,5,5,4,4,4,4,4,5,4,4,5,5,4,4,4,3,3,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,5,-0.212,0.358,0.918,1.129,0.352,0.611,1.351,MEDICAL,FEMALE,YES,UNIVERSITY,TECHNICIAN,28,3,10
4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,3,3,0.124,-0.364,0.594,0.119,-0.523,0.611,-0.423,MEDICAL,MALE,NO,UNIVERSITY,TECHNICIAN,28,4,10
4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,0.124,-0.066,-0.016,0.716,0.144,0.611,0.946,MEDICAL,MALE,YES,UNIVERSITY,TECHNICIAN,30,5,7
4,3,4,3,3,3,4,3,4,3,5,4,3,4,3,3,5,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,-0.903,-1.142,0.316,-0.295,0.144,-0.856,-1.415,MEDICAL,MALE,YES,UNIVERSITY,TECHNICIAN,38,3,7
4,4,4,4,4,4,4,4,4,3,4,4,3,3,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,4,3,4,0.124,-0.364,-0.004,0.523,-0.523,-0.856,0.520,MEDICAL,MALE,YES,UNIVERSITY,TECHNICIAN,45,1,7
4,3,4,3,3,4,4,4,4,3,2,3,2,1,3,1,2,3,3,2,2,3,3,3,5,4,4,3,3,3,3,4,4,3,3,4,4,3,3,3,-0.903,-0.364,-2.224,-1.634,0.359,-0.296,-0.046,MEDICAL,MALE,YES,UNIVERSITY,TECHNICIAN,32,12,9
5,3,5,3,4,4,5,4,5,4,2,2,3,3,2,3,4,3,3,4,3,3,3,3,3,3,3,3,4,3,3,4,4,3,3,2,2,2,2,2,0.179,0.745,-1.962,-0.268,-0.523,0.003,-1.415,ELECTRONIC,FEMALE,NO,UNIVERSITY,TECHNICIAN,26,4,11
3,3,3,3,3,3,4,3,4,4,3,2,2,3,3,3,3,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,1,1,1,1,1,1,1,-1.658,-0.844,-1.593,-2.063,-1.844,-2.628,-3.161,ELECTRONIC,FEMALE,NO,UNIVERSITY,TECHNICIAN,32,7,11
4,3,4,3,3,4,4,4,4,4,3,3,4,4,3,3,4,3,3,2,2,2,4,4,4,3,3,3,4,3,3,3,3,3,2,1,3,3,3,3,-0.903,-0.066,-0.385,-1.079,0.144,-0.557,-0.938,ELECTRONIC,FEMALE,NO,UNIVERSITY,TECHNICIAN,21,2,11
4,4,4,4,3,3,4,3,4,3,2,2,2,2,2,3,3,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,-0.205,-1.142,-2.560,-2.275,-1.844,-2.323,-2.333,ELECTRONIC,FEMALE,NO,UNIVERSITY,TECHNICIAN,33,7,11
4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.124,-0.066,-0.644,-0.255,0.798,0.611,0.946,ELECTRONIC,FEMALE,NO,UNIVERSITY,TECHNICIAN,33,4,11
5,4,5,4,4,4,4,4,4,3,4,4,5,3,3,3,5,3,3,5,5,4,5,5,5,5,5,4,4,3,4,5,5,4,3,4,3,3,3,4,0.878,-0.364,0.260,0.707,1.904,0.868,0.145,ELECTRONIC,FEMALE,NO,UNIVERSITY,TECHNICIAN,28,1,12
4,3,4,4,4,4,4,4,4,5,3,3,3,3,3,2,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,4,-0.212,0.232,-0.983,0.342,-0.297,-0.589,0.171,ELECTRONIC,FEMALE,NO,UNIVERSITY,TECHNICIAN,30,1,13
4,4,5,5,5,5,5,5,5,4,4,4,4,3,4,3,5,3,3,3,3,3,4,4,4,4,3,4,4,3,3,4,4,5,4,3,3,3,3,4,1.188,1.524,0.290,-0.295,0.585,0.003,0.359,ELECTRONIC,FEMALE,NO,UNIVERSITY,TECHNICIAN,26,2,13
3,3,3,3,3,4,4,4,4,3,4,4,4,3,3,3,4,3,3,2,3,2,3,3,3,3,3,3,3,2,2,3,3,4,3,2,3,2,3,2,-1.658,-0.364,-0.034,-0.887,-0.523,-1.464,-0.801,ELECTRONIC,FEMALE,NO,UNIVERSITY,TECHNICIAN,29,2,13
4,4,4,4,4,5,5,5,4,5,5,4,5,5,5,5,5,5,3,4,3,3,3,5,3,3,5,4,3,2,3,5,3,4,4,2,3,3,3,3,0.124,1.419,1.855,0.702,0.554,-0.573,-0.209,ELECTRONIC,FEMALE,NO,UNIVERSITY,TECHNICIAN,29,2,15
