KD1,KD2,KD3,KD4,KD5,KC1,KC2,KC3,KC4,KC5,LC1,LC2,LC3,LC4,LC5,LM1,LM2,LM3,LM4,LM5,LM6,LM7,PI1,PI2,PI3,PI4,PI5,PI6,FI1,FI2,FI3,FI4,FI5,MI1,MI2,MI3,MI4,MI5,MI6,MI7,KD,KC,LC,LM,PC,FC,MC,INDUTRY,GENDER,MARRYED,EDUCATION,DUTY,AGE,CAREER,COMPANY
5,4,5,4,5,4,4,4,4,4,4,5,3,5,4,3,5,3,5,4,3,5,3,4,5,3,4,5,5,3,4,5,3,4,5,3,4,5,3,4,1.206,-0.066,0.922,0.720,0.781,0.633,0.946,MEDICAL,FEMALE,NO,HIGH_SCHOOL,TECHNICIAN,30,6,10
4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,-0.205,-0.066,0.594,0.716,0.798,0.611,0.946,MEDICAL,FEMALE,YES,HIGH_SCHOOL,TECHNICIAN,38,6,7
4,4,4,4,4,4,5,4,4,4,4,4,2,2,4,4,4,4,4,4,3,3,3,3,3,3,3,3,4,4,3,4,3,4,4,4,4,3,2,4,0.124,0.342,-0.601,0.332,-0.523,0.039,0.336,MEDICAL,FEMALE,YES,HIGH_SCHOOL,TECHNICIAN,30,10,7
3,3,3,3,4,3,3,4,4,3,3,3,4,3,4,4,4,3,3,3,2,2,4,4,4,3,3,4,4,2,4,4,3,2,4,2,4,3,3,4,-1.329,-1.151,-0.365,-0.678,0.359,-0.262,-0.157,MEDICAL,MALE,YES,HIGH_SCHOOL,TECHNICIAN,38,5,9
4,5,5,5,4,5,5,5,5,4,4,4,4,3,4,5,5,5,5,4,3,3,4,4,4,4,3,3,4,4,4,4,3,3,4,2,3,2,1,2,1.195,1.524,0.290,1.119,0.371,0.344,-1.224,ELECTRONIC,FEMALE,YES,HIGH_SCHOOL,TECHNICIAN,40,10,11
5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,0.505,-0.066,0.594,0.529,0.359,0.611,0.946,ELECTRONIC,FEMALE,YES,HIGH_SCHOOL,TECHNICIAN,30,2,13
4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,5,3,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,3,2,3,3,3,3,3,0.124,-0.364,0.594,-0.103,0.798,0.611,-0.612,ELECTRONIC,MALE,NO,HIGH_SCHOOL,TECHNICIAN,23,1,17
5,3,5,4,4,5,5,5,5,4,3,4,4,4,3,4,5,4,5,5,4,4,3,4,4,4,4,4,4,4,4,5,4,4,5,5,5,3,3,4,0.543,1.524,-0.068,1.324,0.571,0.904,1.113,ELECTRONIC,MALE,NO,HIGH_SCHOOL,TECHNICIAN,26,1,17
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.124,-0.066,0.594,0.716,0.798,0.611,0.946,ELECTRONIC,MALE,YES,HIGH_SCHOOL,TECHNICIAN,39,9,11
3,3,4,4,4,4,4,4,4,4,4,3,4,4,3,2,2,2,2,2,2,2,3,3,3,2,2,3,3,3,3,3,3,4,3,2,3,3,3,2,-0.593,-0.066,-0.046,-2.052,-0.962,-0.856,-0.614,FINANCE,FEMALE,NO,HIGH_SCHOOL,AGENT,29,7,3
4,4,4,4,5,4,4,4,4,5,4,3,3,5,5,2,4,2,4,3,2,2,4,4,5,4,3,4,4,4,4,4,4,4,4,5,4,3,3,4,0.452,0.232,0.612,-1.049,0.807,0.611,0.711,FINANCE,FEMALE,YES,HIGH_SCHOOL,AGENT,33,8,3
3,3,3,3,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,5,5,4,4,4,4,4,4,3,3,4,4,4,4,4,3,4,4,4,4,-1.329,-0.364,0.271,1.100,0.798,0.009,0.782,MEDICAL,MALE,NO,HIGH_SCHOOL,AGENT,44,20,10
4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,0.497,-0.066,0.594,0.332,0.798,0.308,0.946,ELECTRONIC,FEMALE,NO,HIGH_SCHOOL,AGENT,25,5,11
4,3,4,3,3,4,4,3,4,4,3,4,2,2,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,-0.903,-0.465,-1.264,-0.042,-0.523,-0.856,-0.071,ELECTRONIC,FEMALE,YES,HIGH_SCHOOL,AGENT,31,4,11
5,4,5,4,3,4,5,4,5,4,3,3,4,4,4,4,3,3,3,4,4,3,3,3,3,3,3,4,4,4,4,3,4,3,4,4,4,4,3,3,0.550,0.745,-0.061,-0.076,-0.308,0.318,0.329,ELECTRONIC,FEMALE,YES,HIGH_SCHOOL,AGENT,41,2,14
4,4,5,5,5,5,5,5,5,5,4,3,4,4,4,3,3,2,2,2,2,2,3,3,3,1,2,2,2,2,2,4,4,3,3,3,3,3,3,3,1.188,1.822,0.278,-1.678,-1.403,-1.203,-0.423,FINANCE,FEMALE,NO,UNIVERSITY,AGENT,26,3,1
4,3,4,3,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,3,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,-0.575,-0.066,0.933,0.523,-0.297,0.611,0.946,FINANCE,FEMALE,NO,UNIVERSITY,AGENT,23,2,1
